Notice Number,Description,Country,Publication Date,Deadline,buyer_name,buyer_email,tender_id,organisations,value_original,currency_original,value_inr,start_date,end_date,pdf_link
793112-2024,Poland – Pharmaceutical products – ZP 50/24 Delivery of medicines,Poland,24/12/2024,24/01/2025 08:00:00 (UTC+01:00),Provincial Specialist Hospital named after Dr. Wł. Biegański in Łódź,zampubliczne@bieganski.com.pl,ffcc9a7c-9ac3-4ef6-ac81-57aa5a9e34d5 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Provincial Specialist Hospital named after Dr. W\u0142. Biega\u0144ski in \u0141\u00f3d\u017a"", ""Registration Number"": ""471219736"", ""Roles"": [""Buyer"", ""Organisation processing tenders"", ""Organisation providing offline access to the procurement documents"", ""Organisation providing additional information about the procurement procedure"", ""Organisation receiving requests to participate""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""National Chamber of Appeal"", ""Registration Number"": ""5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation"", ""Mediation organisation""]}, {""Org ID"": ""ORG-0000"", ""Official Name"": ""Publications Office of the European Union"", ""Registration Number"": ""PUBL"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/04/2025,31/03/2026,https://ted.europa.eu/en/notice/793112-2024/pdf
765436-2024,Czechia – Pharmaceutical products – Medicinal product with the active substance ADALIMUMAB,Czechia,13/12/2024,13/01/2025 10:00:00 (UTC+01:00),"Pardubice Region Hospital, a.s.",verejne.zakazky@nempk.cz,bb4f5bf6-d6b4-4dfd-86ef-e9cd36efb89c - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Pardubice Region Hospital, a.s."", ""Registration Number"": ""27520536"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Office for the Protection of Economic Competition"", ""Registration Number"": ""65349423"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}]","18 587 606,00",CZK,"77,882,069.14 INR",01/01/2025,31/12/2026,https://ted.europa.eu/en/notice/765436-2024/pdf
760743-2024,"Germany – Pharmaceutical products – Pharmaceutical discount agreements from February 1st, 2025 on various active ingredients as part of an open house procedure",Germany,12/12/2024,02/12/2026 17:00:00 (UTC+01:00),AOK NordWest,openhouse@nw.aok.de,5812c6ab-628e-49f3-837b-441cf8123dac - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""AOK NordWest"", ""Registration Number"": ""DE124159739"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Vergabekammer des Bundes beim Bundeskartellamt"", ""Registration Number"": ""T:022894990"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Public Purchasing Data Service (responsible for the Procurement Office of the BMI)"", ""Registration Number"": ""0204:994-DOEVD-83"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/02/2025,31/01/2027,https://ted.europa.eu/en/notice/760743-2024/pdf
707957-2024,Poland – Pharmaceutical products – “Supply of drugs as part of Therapeutic Drug Programs.”,Poland,20/11/2024,30/12/2024 11:00:00 (UTC+01:00),Child and Family Health Center Jana Pawła II in Sosnowiec Sp. z o. o.,dap@czdir.pl,8f80e903-5982-406b-ab8d-64994b502b9b - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Child and Family Health Center Jana Paw\u0142a II in Sosnowiec Sp. z o. o."", ""Registration Number"": ""6443508924"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""National Chamber of Appeal"", ""Registration Number"": ""5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0000"", ""Official Name"": ""Publications Office of the European Union"", ""Registration Number"": ""PUBL"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,16/02/2025,15/02/2026,https://ted.europa.eu/en/notice/707957-2024/pdf
698629-2024,Germany – Pharmaceutical products – pharmaceutical contracts with accession option,Germany,15/11/2024,01/11/2026 12:00:00 (UTC+01:00),BARMER Beschaffung und Vergabe,rabattvertraege@barmer.de,10feb5b4-c631-45ec-9b40-474214cdcf47 - 01,"[{""Org ID"": ""ORG-7001"", ""Official Name"": ""BARMER Beschaffung und Vergabe"", ""Registration Number"": ""993-80195-71"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer"", ""Organisation receiving requests to participate""]}, {""Org ID"": ""ORG-7004"", ""Official Name"": ""Vergabekammer des Bundes, Bundeskartellamt Bonn"", ""Registration Number"": ""0"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-7005"", ""Official Name"": ""Public Purchasing Data Service (responsible for the Procurement Office of the BMI)"", ""Registration Number"": ""0204:994-DOEVD-83"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/01/2025,31/12/2026,https://ted.europa.eu/en/notice/698629-2024/pdf
686479-2024,Germany – Pharmaceutical products – Conclusion of non-exclusive discount agreements in accordance with Section 130 a Paragraph 8 SGB V with the active ingredient Adalimumab,Germany,11/11/2024,10/11/2026 10:00:00 (UTC+01:00),GWQ ServicePlus AG,bieteranfrage@gwq-serviceplus.de,b418985d-bdaa-4d7b-9e86-42b1fbfe299e - 01,"[{""Org ID"": ""ORG-0000"", ""Official Name"": ""GWQ ServicePlus AG"", ""Registration Number"": ""DE258895210"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0001"", ""Official Name"": ""Vergabekammer des Bundes beim Bundeskartellamt"", ""Registration Number"": ""T: +4922894990"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Public Purchasing Data Service (responsible for the Procurement Office of the BMI)"", ""Registration Number"": ""0204:994-DOEVD-83"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/01/2025,31/12/2026,https://ted.europa.eu/en/notice/686479-2024/pdf
600339-2024,Denmark – Pharmaceutical products – Amgros 2025 1.351.b,Denmark,07/10/2024,19/11/2024 12:00:00 (UTC+01:00),Amgros I/S,udbud@amgros.dk,aefdef60-f244-4b5b-b235-bb16c82b2d0c - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Amgros I/S"", ""Registration Number"": ""14479880"", ""Roles"": [""Buyer"", ""Organisation processing tenders"", ""Central purchasing body acquiring supplies and/or services intended for other buyers"", ""Organisation providing additional information about the procurement procedure"", ""Central purchasing body awarding public contracts or concluding framework agreements for works, supplies or services intended for other buyers""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""The Board of Appeal for Tenders"", ""Registration Number"": ""37795526"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0003"", ""Official Name"": ""Konkurrence- og Forbrugerstyrelsen"", ""Registration Number"": ""10294819"", ""Roles"": [""Organisation providing more information on the review procedures""]}]","4 851 000 000,00",DKK,"66,313,170,000.00 INR",01/04/2025,31/03/2027,https://ted.europa.eu/en/notice/600339-2024/pdf
570258-2024,"Germany – Pharmaceutical products – Open framework agreement on pharmaceutical discounts in accordance with Section 130a Paragraph 8 SGB V with the possibility of joining at any time, so-called approval model 2024-09",Germany,23/09/2024,05/09/2026 23:59:00 (UTC+02:00),Deutsche Rentenversicherung Knappschaft-Bahn-See,openhouse.rabattvertrag2024-09@kbs.de,59666837-103f-4c57-95b3-5ccedecd9afa - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Deutsche Rentenversicherung Knappschaft-Bahn-See"", ""Registration Number"": ""992-80003-44"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""The locally responsible social court (see Section 57 SGG)"", ""Registration Number"": ""Unbekannt."", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0000"", ""Official Name"": ""Publications Office of the European Union"", ""Registration Number"": ""PUBL"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/11/2024,31/10/2026,https://ted.europa.eu/en/notice/570258-2024/pdf
567973-2024,Poland – Pharmaceutical products – Successive purchases and deliveries of medicines for the Wielkopolska Rheumatology Center. Dr. Wiesław Romanowski in Śrem,Poland,20/09/2024,26/09/2024 08:00:00 (UTC+02:00),Greater Poland Rheumatology Center Dr. Wiesław Romanowski in Śrem,por@reumatologia.srem.net,7a6aacc2-af3d-45bf-91bb-c8795b6b4145 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""Greater Poland Rheumatology Center Dr. Wies\u0142aw Romanowski in \u015arem"", ""Registration Number"": ""630833353"", ""Roles"": [""Buyer""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""National Chamber of Appeal"", ""Registration Number"": ""NIP 5262239325"", ""Roles"": [""Organisation providing more information on the review procedures"", ""Review organisation""]}, {""Org ID"": ""ORG-0000"", ""Official Name"": ""Publications Office of the European Union"", ""Registration Number"": ""PUBL"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/01/2025,N/A,https://ted.europa.eu/en/notice/567973-2024/pdf
550196-2024,Germany – Pharmaceutical products – Conclusion of a non-exclusive discount agreement in accordance with Section 130a Paragraph 8 SGB V for medicines with the active ingredient Adalimumab (ATC code: L04AB04).,Germany,13/09/2024,27/08/2026 12:00:00 (UTC+01:00),AOK Niedersachsen. Die Gesundheitskasse.,rabattvertraege@nds.aok.de,f8ed9f22-0349-4dac-af0d-6ffcd09e4dc8 - 01,"[{""Org ID"": ""ORG-0001"", ""Official Name"": ""AOK Niedersachsen. Die Gesundheitskasse."", ""Registration Number"": ""AOK- Niedersachsen. Die Gesundheitskasse"", ""Roles"": [""Organisation providing additional information about the procurement procedure"", ""Buyer"", ""Organisation receiving requests to participate""]}, {""Org ID"": ""ORG-0002"", ""Official Name"": ""Vergabekammer des Bundes"", ""Registration Number"": ""Vergabekammer des Bundes beim Bundeskartellamt"", ""Roles"": [""Review organisation""]}, {""Org ID"": ""ORG-0000"", ""Official Name"": ""Publications Office of the European Union"", ""Registration Number"": ""PUBL"", ""Roles"": [""TED eSender""]}]",N/A,N/A,N/A,01/11/2024,31/10/2026,https://ted.europa.eu/en/notice/550196-2024/pdf
